Year,State,stateid,statepop,"Residents in State, County, and City Mental Hospitals",Resident all Mental Institutions,All Patients (Resident and on Parole) in All Mental Institutions,Homicide Count,Prisoners,Jailpop,Executions,Real Per Cap Income,Age Percent 15 to 19,Age Percent 20 to 24,Nonwhite,r_black,r_urban
1927,VT,46,357000,838,838,855,3,332,51.3999999999996,0,,,,,,
1927,VA,47,2433000,5889,5889,7388,270,2138,1144.40000000002,0,,,,,,
1927,WA,48,1538000,4251,4251,4837,65,1484,345.6,1,,,,,,
1927,WV,49,1671000,2510,2510,3939,229,1762,489.199999999997,1,,,,,,
1927,WI,50,2916000,1805,1805,2716,73,1595,834.399999999994,0,,,,,,
1927,WY,51,219000,394,394,408,22,301,33,0,,,,,,
1928,AL,1,2640000,3527,3527,4048,549,3674,822,0,,,,,,
1928,AK,2,,,,,,,,,,,,,,
1928,AZ,3,422000,709,709,887,54,534,49,4,,,,,,
1928,AR,4,1847000,2749,2749,3633,285,1124,213,4,,,,,,
1928,CA,5,5344000,13825,13825,15327,380,6815,2419,5,,,,,,
1928,CO,6,1014000,2488,2488,2825,61,1209,210.5,2,,,,,,
1928,CT,7,1577000,5002,5002,5371,43,1097,414,0,,,,,,
1928,DE,8,233000,629,629,715,19,,277.5,0,,,,,,
1928,FL,10,1433000,3102,3102,3241,371,1648,482.5,8,,,,,,
1928,GA,11,2903000,5069,5069,5767,530,3424,2081,7,,,,,,
1928,HI,12,,,,,,,,,,,,,,
1928,ID,13,449000,671,671,937,22,418,162.5,0,,,,,,
1928,IL,14,7576000,21551,21551,22283,778,7049,2430.5,3,,,,,,
1928,IN,15,3212000,6698,6698,7045,222,3881,501.5,1,,,,,,
1928,IA,16,2450000,5539,5539,6487,56,2345,362,0,,,,,,
1928,KS,17,1850000,3837,3837,4389,102,2861,228,0,,,,,,
1928,KY,18,2567000,5077,5077,5560,458,2805,570.5,7,,,,,,
1928,LA,19,2064000,3881,3881,4037,406,1963,544,0,,,,,,
1928,ME,20,797000,2140,2140,2260,13,382,227.5,0,,,,,,
1928,MD,21,1610000,4064,4064,4093,121,2296,574.5,3,,,,,,
1928,MA,22,4217000,17550,17550,19459,79,2123,1921.5,3,,,,,,
1928,MI,23,4665000,8112,8112,8975,327,6691,1391,0,,,,,,
1928,MN,24,2592000,7632,7632,8828,71,2135,791.5,0,,,,,,
1928,MS,25,1981000,3071,3071,3867,449,,336.5,0,,,,,,
1928,MO,26,3601000,6087,6087,6431,397,3828,783,0,,,,,,
1928,MT,27,541000,1518,1518,1518,44,503,102,0,,,,,,
1928,NE,28,1371000,3431,3431,3992,50,1077,243.5,1,,,,,,
1928,NV,29,89000,238,238,258,,261,56.5,0,,,,,,
1928,NH,30,468000,1644,1644,1784,6,125,138.5,0,,,,,,
1928,NJ,31,3968000,6148,6148,6707,175,2846,1144,1,,,,,,
1928,NM,32,416000,527,527,656,,411,31,0,,,,,,
1928,NY,33,11599000,46525,46525,51007,616,7819,6094.5,14,,,,,,
1928,NC,34,3082000,5140,5140,5973,306,1954,520,0,,,,,,
1928,ND,35,665000,1491,1491,1616,7,298,82,0,,,,,,
1928,OH,36,6608000,14646,14646,16577,531,8335,1923.5,7,,,,,,
1928,OK,37,2344000,4115,4115,4587,252,3484,496,3,,,,,,
1928,OR,38,936000,2933,2933,3247,42,697,259.5,2,,,,,,
1928,PA,39,9802000,12415,12415,13679,543,5027,4422.5,0,,,,,,
1928,RI,40,678000,1825,1825,2327,18,409,177.5,0,,,,,,
1928,SC,41,1739000,2884,2884,3273,231,633,823,0,,,,,,
1928,SD,42,685000,1430,1430,1447,,416,92,0,,,,,,
1928,TN,43,2624000,3449,3449,3486,464,2450,1087.5,0,,,,,,
1928,TX,44,5675000,8196,8196,9222,,4561,684,0,,,,,,
1928,UT,45,504000,832,832,832,20,210,71,0,,,,,,
1928,VT,46,358000,883,883,900,5,399,54,0,,,,,,
1928,VA,47,2435000,6017,6017,7659,256,2453,1304,3,,,,,,
1928,WA,48,1551000,4216,4216,4900,72,1621,345,3,,,,,,
1928,WV,49,1696000,2688,2688,4073,216,1931,525.5,3,,,,,,
1928,WI,50,2923000,1871,1871,2799,61,1617,927,0,,,,,,
1928,WY,51,220000,417,417,437,18,318,35.5,0,,,,,,
1929,AL,1,2644000,3755,3755,4453,513,,906,0,,,,,,
1929,AK,2,,,,,,,,,,,,,,
1929,AZ,3,430000,758,758,893,67,509,45.3999999999996,0,,,,,,
1929,AR,4,1852000,2897,2897,3768,285,1153,226.599999999999,0,,,,,,
1929,CA,5,5531000,14222,14222,15700,335,7071,2648.59999999998,12,,,,,,
1929,CO,6,1008000,2575,2575,2889,90,1250,218.799999999999,0,,,,,,
1929,CT,7,1594000,5050,5050,5394,41,1210,444,1,,,,,,
1929,DE,8,236000,699,699,797,16,,312.600000000006,0,,,,,,
1929,FL,10,1445000,3295,3295,3295,369,1592,534.399999999994,0,,,,,,
1929,GA,11,2903000,5291,5291,5969,531,,2120.39999999999,0,,,,,,
1929,HI,12,,,,,,,,,,,,,,
1929,ID,13,447000,695,695,860,16,381,184.400000000001,0,,,,,,
1929,IL,14,7606000,22134,22134,22843,674,7949,2566.59999999998,0,,,,,,
1929,IN,15,3226000,6908,6908,7279,224,3986,480,0,,,,,,
1929,IA,16,2460000,5626,5626,6625,64,2468,404,0,,,,,,
1929,KS,17,1867000,3872,3872,4500,117,2776,241.599999999999,0,,,,,,
1929,KY,18,2606000,5195,5195,5651,434,3143,603.599999999999,2,,,,,,
1929,LA,19,2086000,4072,4072,4397,345,2130,583.399999999994,0,,,,,,
1929,ME,20,797000,2088,2088,2209,8,433,246.599999999999,0,,,,,,
